key,translation
AnglerQuestChatter.Chatter_1,这是帮了我{AnglerCompletedQuestsCount}次忙的合同，再接再厉!
AnglerQuestChatter.Chatter_2,到目前为止，我们已经把{AnglerCompletedQuestsCount}条鱼运到海外!返回公会的标本越稀有，我们获得的宝藏就越多!
AnglerQuestText.NoQuest_1,今天到此为止，该放松一下了!
AnglerQuestText.NoQuest_2,一天只有一条鱼，明天再来吧!。
AnglerQuestText.NoQuest_3,今天的鱼已经钓完了，{PlayerName}，你回来就是为了看我的胸部吗?
AnglerQuestText.NoQuest_4,谢谢你今天帮我，{PlayerName}!既然你来了，能不能帮我按摩一下肩膀?
AnglerQuestText.NoQuest_5,我还在等钓鱼公会的回应，新工作一般在早上4:30就来了!
AnglerQuestText.TurnIn_1,很惊讶卖不出去这条鱼吧?公会对这条鱼有垄断权——这是给你的分成!
AnglerQuestText.TurnIn_2,干得好，{PlayerName}！如果这可以激励你继续坚持下去，你可以...如果你想的话，可以摸一下?
AnglerQuestText.TurnIn_3,正好赶上!把它放进盒子里——别放在我的胸里!
AnglerQuestText.TurnIn_4,任务完成了!这是我通过我的线人给你弄来的!
AnglerQuestText.TurnIn_5,看看那东西的大小，你从哪里弄来的?{PlayerName}?那是鱼吗?
AnglerQuestText.Quest_Batfish,"今天我们要找的是蝙蝠鱼，它是飞鱼的地下表亲，我听说它会攻击小偷!

（抓捕位置：地下和洞穴）"
AnglerQuestText.Quest_BumblebeeTuna,"在{WorldName}的地下丛林有奇怪的东西!大黄蜂金枪鱼可以在蜂蜜中游泳和呼吸!不过...呃，我对蜜蜂过敏...

（抓捕位置：蜂蜜）"
AnglerQuestText.Quest_Catfish,"当向导为鲇鱼签合同时，我很困惑，但我听说丛林住着一只毛茸茸的鱼猫!我好希望它能当我的宠物!

（抓捕位置：丛林地表）"
AnglerQuestText.Quest_Cloudfish,"我得到可靠消息说，有一种鱼不仅生活在云里，而且是由云构成的!我不知道你是怎么上去的，但它听起来很脆，所以拿的时候小心点!

（抓捕位置：天湖）"
AnglerQuestText.Quest_Cursedfish,"有条该死的鱼在最腐败的水里游!它是由潜伏在那里的堕落的恐怖蔓延而来的受诅咒的火焰铸成的。他们说即使是水也不能扑灭这火，它可以永远燃烧。好可怕!我想知道行会想要它做什么。

（抓捕位置：腐化之地）"
AnglerQuestText.Quest_Dirtfish,"土鱼!这是一条用泥土做的鱼!或者它身上覆盖着泥土，是为了保护自己不受捕食者的伤害?我想我们在抓到一个之前是不会知道的——它们在海外比土块更有价值!

（抓捕位置：地表和地下）"
AnglerQuestText.Quest_DynamiteFish,"爆破师今天教我用炸药捕鱼，我认为这是一段美好友谊的开始!唯一的问题是，当他试着演示的时候，炸药棒变成了一条鱼!如果它真的发生了，而且不只是硫磺扰乱了我的头脑，公会想要它!

（抓捕位置：地表）"
AnglerQuestText.Quest_EaterofPlankton,"我们今天有悬赏捉拿浮游生物的食人者。据说它是从食食者的一部分变异而来的，但浮游生物生活在海洋里……我猜他们只是想知道它的名字——我们把它带到公会研究人员那里，我们就能知道它真正吃什么了!

（抓捕位置：腐化之地）"
AnglerQuestText.Quest_FallenStarfish,"那些流星不是很漂亮吗?显然，其中一些实际上是来自太空的鱼，伪装成这样以躲避太空捕食者!我们需要更多地了解它们的生命周期!

（抓捕位置：天湖）"
AnglerQuestText.Quest_TheFishofCthulu,"很显然，一些夜间出现的会飞的眼球已经适应了生活在水中!我不确定它是不是一条鱼，但我们在海外没有克苏鲁，我的联络人告诉我它仍然在公会的管辖范围内

（抓捕位置：天湖和地表）"
AnglerQuestText.Quest_Fishotron,"鱼的手!有手的不死鱼!它们是骷髅，据说是被恶灵附身的，但一条有手的鱼肯定应该被收藏在博物馆里!我们会得到一笔可观的佣金，我也会赢一个赌!

（抓捕位置：洞穴）"
AnglerQuestText.Quest_Harpyfish,"我听过一个关于长翅膀的鱼的疯狂故事!不是飞鱼——它还长着女孩的头呢!她和鹰身女妖还是美人鱼的关系更近?巫师知道答案吗?只有一个办法能知道!

（抓捕位置：天湖和地表）"
AnglerQuestText.Quest_Hungerfish,"你听说过关于血肉之墙的传说吗?据推测，一些块状物质会脱落，形成像鱼一样的小东西，在地下世界里漫无目的地游来游去，就像古代历史中模糊的鱼形碎片!

（抓捕位置：洞穴）"
AnglerQuestText.Quest_Ichorfish,"你知道在深红的深处，有些生物会制造这种恶心的黄色东西吗?通常这是炼金术士协会的职责范围，但据说有一条鱼是用这种东西做成的，所以我们可以占他们的上风!

（抓捕位置：猩红之地）"
AnglerQuestText.Quest_Jewelfish,"你准备好做一些保护工作了吗?在地下深处有一种濒临灭绝的石鱼，它的身体上长着宝石;公会想要他们来影响宝石市场，但我们也会保护野生动物!

（抓捕位置：地下和洞穴）"
AnglerQuestText.Quest_MirageFish,"在神圣的洞穴深处，纯净和善良变得如此集中，以至于人类的感官无法完全理解它——这是我们的研究人员告诉我的，他们提出了一个理论，这种鱼具有可以弯曲眼睛的幻觉特性，我们可以利用它。

（抓捕位置：地下神圣之地）"
AnglerQuestText.Quest_MutantFlinxfin,"弗林斯到底是什么?根据探险者的说法，这些毛茸茸的东西也以某种方式变异成了鱼，所以这就取决于我们的调查了!

（抓捕位置：地下苔原）"
AnglerQuestText.Quest_Pengfish,"企鹅鱼就像企鹅和鱼一样!它们很可爱，是很好的宠物，但它们既有缺点又没有优点，这意味着它们很容易成为捕食者和偷猎者的猎物;行会想要一个作为他们繁衍计划的一部分。

（抓捕位置：苔原）"
AnglerQuestText.Quest_Pixiefish,"有一种非常非常罕见的小精灵，生来就有很多翅膀，以至于不能飞!它和鱼一起在神圣的湖里游泳，虽然它不是鱼，但我的关系告诉我它属于公会想要它们的法律定义。

（抓捕位置：神圣之地）"
AnglerQuestText.Quest_Spiderfish,"蜘蛛鱼~蜘蛛鱼~会做蜘蛛鱼能做的事~它有八条腿，像蜘蛛一样吐丝，但它也是一条鱼~我们为公会买了它，我们都会发财的!

（抓捕位置：地下和洞穴）"
AnglerQuestText.Quest_UnicornFish,"独角兽和彩虹绝对很棒!它们无处不在，甚至在水里。圣器是如此的纯净，甚至一些鱼会变成独角兽，就像真的很小的魔法独角鲸!它们存在的消息一传出，海外的人们就吵着要养它们当宠物!

（抓捕位置：神圣之地）"
AnglerQuestText.Quest_GuideVoodooFish,"这是一个奇怪的故事——根据传说，恶魔用受诅咒的灵魂塑造了被鄙视的凡人的巫毒娃娃，但其中一些人逃离了冥界——这些灵魂变成了人面鱼!很难说他们是不是人类，但如果我们能找到一个，我们就能把它交给巫师，看他们能不能把它变回来!

（抓捕位置：洞穴）"
AnglerQuestText.Quest_Wyverntail,"据说，那些在太空边缘飞来飞去的蠕虫实际上是一种在天空湖中产卵的两栖动物——如果我们能弄到它们的一个幼虫，就能扩大我们对整个空中生态系统的了解!

（抓捕位置：天湖）"
AnglerQuestText.Quest_ZombieFish,"渔民总是被僵尸鱼袭击!它们并不罕见，但它们是害虫，公会付钱给我们就是为了证明我们把它们从我们的水域赶走!

（抓捕位置：地表）"
AnglerQuestText.Quest_AmanitaFungifin,"在密集到孢子挡住阳光的蘑菇地里，一切都发出明亮的蓝色光芒!有些真菌还与当地的鱼类形成了共生关系，公会想要这些发光的真菌鱼的样本。

（抓捕位置：发光蘑菇地）"
AnglerQuestText.Quest_Angelfish,"行会的研究人员推测，既然天堂是由云构成的，而云是由水构成的……哪里有水，哪里就有鱼，天使应该和天使鱼在一起!他们也愿意付钱让我们测试他们的想法!

（抓捕位置：天湖）"
AnglerQuestText.Quest_BloodyManowar,"血腥的人类大战造就了 {WorldName} 所有水母中最具威胁性最凶险的水母!它们被深红变异了，而且超级有毒——显然，渔民公会想要勒索炼金术士公会来获得它。

（抓捕位置：猩红之地）"
AnglerQuestText.Quest_Bonefish,"无论{WorldName}中有什么神秘的力量让你看到的所有骷髅和僵尸都充满活力，显然它有时也会对鱼骨起作用!我无法想象它有什么好吃的，或者用来当宠物，但我确定骨架鱼有某种用途。但它仍然是一具骨架，所以你最好离它的下颚远点!

（抓捕位置：地下和洞穴）"
AnglerQuestText.Quest_Bunnyfish,"虽然我们会猎兔子!但没有看到过兔兔鱼，一种罕见的水生无腿兔子，协会想让我们抓一只做研究!抓两只来养一只当宠物?
（抓捕位置：地表）"
AnglerQuestText.Quest_CapnTunabeard,"传说有一个海盗船长，他曾经养过一条宠物鱼，名叫金枪鱼胡子船长。虽然海盗被遗忘了，但这条鱼是同类中第一个接受假肢的!据推测，它还活着——除非海盗也一直在附近用钩子和钉子钓其他的鱼。这是一个帮助发展鱼类药物的机会!

（抓捕位置：海洋）"
